"HRJ Capital","hrj-capital"
"New Enterprise Associates","new-enterprise-associates"
"Kodiak Venture Partners","kodiak-venture-partners"
"Advanced Technology Ventures","advanced-technology-ventures"
"European Founders Fund","european-founders-fund"
"Slater Technology Fund","slater-technology-fund"
"Sloane Robinson","sloane-robinson"
"Rembrandt Venture Partners","rembrant-venture-partners"
"ComVentures","comventures"
"JLA Ventures","jla-ventures"
"Desjardins Venture Capital","desjardins-venture-capital"
"John Fairfax Holdings","john-fairfax-holdings"
"In-Q-Tel","in-q-tel"
"Chart Venture Partners","chart-venture-partners"
"New Markets Venture Partners","new-markets-venture-partners-2"
"Walker Ventures","walker-ventures"
"MMV Financial","mmv-financial"
"Tugboat Ventures","tugboat-ventures"
"ATA Ventures","ata-ventures"
"Innovacom","innovacom"
"Nextstage Capital","nextstage-capital"
"New York Angels","new-york-angels"
"Artiman Ventures","artiman-ventures"
"Providence Equity Partners","providence-equity-partners"
"Benhamou Global Ventures","benhamou-global-ventures"
"FINAM Global","finam"
"SBI Ventures Group","sbi-ventures-group"
"Advent Venture Partners","advent-venture-partners"
"Sand Hill Capital","sand-hill-capital"
"Humana Inc.","humana-inc"
"New World Angels","new-world-angels"
"Cambridge Business Angels","cambridge-business-angels"
"Novus Ventures","novus-ventures"
"Rocket Ventures","rocket-ventures"
"Generation Partners","generation-partners"
"Empire Capital Partners","empire-capital-partners"
"Intel Capital","intel-capital"
"Ambient Sound Investments","ambient-sound-investments"
"Halo Capital NYC","halo-capital-nyc"
"DFJ DragonFund","dfj-dragonfund"
"SCP Worldwide","scp-worldwide"
"Riga Ventures","riga-ventures"
"Spinnaker Capital Partners,","spinnaker-capital-partners-llc"
"Greycroft Partners","greycroft-partners"
"High Peaks Venture Partners","high-peaks-venture-partners"
"Illinois Innovation Accelerator Fund","illinois-innovation-accelerator-fund"
".406 Ventures","406-ventures"
"WI Harper Group","wi-harper-group"
"Fairhaven Capital Partners","fairhaven-capital-partners"
"Commonwealth Capital Ventures","commonwealth-capital-ventures"
"Appian Ventures","appian-ventures"
"Garage Technology Ventures Canada","garage-technology-ventures-canada"
"Brudder Ventures","brudder-ventures"
"Lauder Partners","lauder-partners"
"Eaglebrook School","eaglebrook-school"
"Lionsgate","lionsgate"
"Elron Electronic Industries","elron-electronic-industries"
"Schoffstall Ventures","schoffstall-ventures"
"FirstMark Capital","firstmark-capital"
"Monster Venture Partners","monster-venture-partners"
"Focus Ventures","focus-ventures"
"Iron Springs Capital","iron-springs-capital"
"Quadrangle Group","quadrangle"
"Duggal Dimensions","duggal-dimensions"
"I-Source Gestion","i-source-gestion"
"Technology Venture Partners","technology-venture-partners"
